candidate_id,company_name,city,domain,website,segment,signal_summary,signal_source,pain_hypothesis,fit,intent,timing,total,email_status,next_action
cand_28b3352bf6,Biocoiff,Paris,biocoiff.com,https://www.biocoiff.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur, coloriste, coloristes; services/mentions balayage/blond: balayage, mèches; services/mentions soin/lissage: soin, soins; positionnement expert/premium: expert, expertise, sur-mesure, diagnostic; signal formation/academy: formation",https://www.biocoiff.com/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,5,2.5,4.46,not_found,lead_enrichment
cand_10366f4b4a,Mathis,Paris,salon-mathis.com,https://www.salon-mathis.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage, ombré; services/mentions soin/lissage: soin, soins, réparation; positionnement expert/premium: diagnostic; signal formation/academy: formation",https://www.salon-mathis.com/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.9,2.6,4.44,not_found,lead_enrichment
cand_5f888307bb,Couleurs Gaïa,Paris,salons.couleursgaia.com,https://salons.couleursgaia.com/salon/paris,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur, coloriste; services/mentions soin/lissage: soin, soins; positionnement expert/premium: expert, expertise, sur-mesure; signal formation/academy: formation, formatrice",https://salons.couleursgaia.com/salon/paris,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.4,3.0,4.35,not_found,lead_enrichment
cand_63d52fa464,Franck Provost,Paris,franckprovost.com,https://www.franckprovost.com,Segment C — Groupe ou réseau de salons,"services/mentions coloration: coloration, couleur, gloss; services/mentions balayage/blond: balayage, blond, blonde, ombré; services/mentions soin/lissage: soin, soins, botox capillaire; signal formation/academy: academy",https://www.franckprovost.com,"Besoin probable de standardiser les produits, la formation et la qualité entre plusieurs salons ou une marque de réseau.",4.4,4.9,3.0,4.29,not_found,lead_enrichment
cand_c99f070b77,Dessange,Lille,salon.dessange.com,https://salon.dessange.com/fr/salon-coiffure/lille-esquermoise,Segment C — Groupe ou réseau de salons,"services/mentions coloration: coloration, couleur; services/mentions balayage/blond: balayage, ombre; services/mentions soin/lissage: soin, soins; positionnement expert/premium: expert, expertise, maison, luxe",https://salon.dessange.com/fr/salon-coiffure/lille-esquermoise,"Besoin probable de standardiser les produits, la formation et la qualité entre plusieurs salons ou une marque de réseau.",4.6,4.6,3.0,4.28,not_found,lead_enrichment
cand_9fc3df3639,Nuances Coiffure,Paris,nuancescoiffureparis.fr,https://www.nuancescoiffureparis.fr/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur, colorimétrie; services/mentions balayage/blond: balayage; services/mentions soin/lissage: soin, soins, lissage; positionnement expert/premium: expert, maison, sur-mesure",https://www.nuancescoiffureparis.fr/,"Besoin probable de résultats couleur/soin constants, de différenciation salon et de supports techniques/formation Wella.",4.5,4.5,3.0,4.2,not_found,lead_enrichment
cand_9321a8fc8b,Le Labo,Nantes,salonlelabo.com,https://salonlelabo.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur; services/mentions soin/lissage: soin, soins; positionnement expert/premium: expert, expertise; signal formation/academy: formation",https://salonlelabo.com/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.9,4.2,2.6,4.2,not_found,lead_enrichment
cand_3e4b215fa4,Mama Cosy,Fontenay-aux-Roses,mamacosy.fr,https://www.mamacosy.fr/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, couleur, gloss, patine; services/mentions balayage/blond: ombre, mèches; services/mentions soin/lissage: soin, soins, lissage, botox capillaire; signal formation/academy: formation",https://www.mamacosy.fr/,"Besoin probable de contenus, formation et support technique autour des prestations couleur/soin.",4.3,4.9,2.6,4.17,not_found,lead_enrichment
cand_2dad4545f4,Leila Coiffure,Paris,leila-coiffure-paris.com,https://www.leila-coiffure-paris.com/,Segment A — Salon premium orienté coloration,"services/mentions coloration: coloration, coloriste, coloristes, patine; services/mentions balayage/blond: balayage, blond, blonde, ombré; services/mentions soin/lissage: soin, soins, kératine, lissage; positionnement expert/premium: expert, premium, sur-mesure",https://www.leila-coiffure-paris.com/,"Besoin probable de résultats couleur/soin constants, de différenciation salon et de supports techniques/formation Wella.",4.5,4.7,2.5,4.17,not_found,lead_enrichment
cand_b218c71f68,Eva,Lille,maisondecoiffureeva.com,https://www.maisondecoiffureeva.com/,Segment B — Studio coloriste / expert blond et balayage,"services/mentions coloration: coloration, couleur, coloriste; services/mentions balayage/blond: balayage, blond, mèches; services/mentions soin/lissage: soin, soins, lissage; positionnement expert/premium: expert, expertise, maison, sur-mesure",https://www.maisondecoiffureeva.com/,"Besoin probable de résultats couleur/soin constants, de différenciation salon et de supports techniques/formation Wella.",4.5,4.7,2.5,4.17,not_found,lead_enrichment
